node1	interaction	node2	connections
47	0	51	69
10	0	9	442
73	0	84	124
42	0	67	6
55	0	81	220
107	0	117	127
104	0	48	83
22	0	78	280
116	0	75	166
11	0	19	23
103	0	37	33
104	0	59	99
29	0	73	167
25	0	7	125
11	0	31	5
82	0	96	160
104	0	89	123
105	0	107	121
110	0	6	179
110	0	22	58
46	0	9	128
63	0	73	186
27	0	86	5
36	0	73	201
11	0	52	13
55	0	67	9
73	0	83	144
39	0	94	9
23	0	75	141
86	0	97	82
106	0	41	125
34	0	78	99
48	0	75	156
75	0	76	157
57	0	73	178
115	0	27	6
10	0	81	176
34	0	73	142
104	0	32	67
114	0	84	124
104	0	14	49
58	0	59	124
3	0	72	179
50	0	80	87
70	0	73	79
103	0	54	74
32	0	51	72
1	0	75	129
55	0	70	150
72	0	78	46
104	0	68	73
40	0	67	258
37	0	39	7
79	0	80	174
23	0	79	165
64	0	79	141
13	0	75	124
108	0	27	537
103	0	39	150
107	0	49	136
104	0	69	57
31	0	99	189
111	0	92	155
5	0	78	19
95	0	99	372
38	0	75	220
25	0	26	132
13	0	55	156
2	0	90	97
41	0	67	12
104	0	87	104
79	0	87	154
109	0	110	98
112	0	73	151
22	0	39	88
11	0	50	5
115	0	97	82
103	0	3	115
66	0	67	64
104	0	61	139
107	0	114	108
114	0	98	69
45	0	73	234
73	0	98	160
62	0	79	127
14	0	55	191
82	0	97	115
78	0	97	7
22	0	72	75
51	0	53	40
112	0	58	120
55	0	74	169
29	0	55	159
25	0	4	170
64	0	90	159
66	0	8	22
10	0	75	69
109	0	67	6
105	0	110	119
116	0	96	110
10	0	85	169
55	0	77	128
61	0	73	195
18	0	90	142
30	0	9	118
39	0	78	39
101	0	113	216
104	0	47	53
17	0	67	11
2	0	73	128
25	0	35	189
56	0	75	235
27	0	82	8
44	0	67	15
55	0	7	127
42	0	79	141
20	0	73	165
111	0	88	147
28	0	73	180
115	0	58	138
55	0	63	196
75	0	92	137
11	0	47	24
12	0	99	113
5	0	73	183
28	0	79	157
73	0	94	174
14	0	51	38
56	0	95	49
100	0	75	107
38	0	90	166
12	0	79	102
22	0	5	61
110	0	43	137
110	0	32	153
113	0	43	242
11	0	91	18
104	0	51	638
65	0	75	142
55	0	95	186
11	0	45	12
11	0	51	26
10	0	65	213
86	0	9	91
44	0	92	5
103	0	18	177
55	0	71	145
72	0	94	7
102	0	110	133
41	0	55	101
74	0	99	116
101	0	97	111
10	0	19	170
16	0	97	92
108	0	78	845
37	0	99	135
41	0	62	162
114	0	69	112
17	0	73	170
33	0	79	166
51	0	69	65
60	0	79	265
26	0	55	176
104	0	73	73
117	0	55	165
52	0	55	158
94	0	97	39
27	0	97	329
53	0	79	133
25	0	37	116
58	0	75	57
25	0	39	5
110	0	83	131
11	0	8	13
104	0	20	118
68	0	93	149
111	0	75	123
27	0	78	13
78	0	94	204
10	0	36	157
103	0	21	98
24	0	55	121
56	0	99	30
51	0	89	141
54	0	73	165
71	0	96	219
103	0	25	5
110	0	58	125
111	0	44	153
104	0	53	69
112	0	59	26
55	0	97	184
82	0	86	46
6	0	67	133
24	0	77	72
113	0	15	394
46	0	73	199
4	0	73	145
1	0	96	132
68	0	91	114
72	0	85	150
104	0	49	110
35	0	9	130
10	0	106	162
110	0	75	50
76	0	9	117
