Gene	Start	End
BL_CAR_01	1125	1916
BL_CAR_02	58	1062
BL_CAR_03	1312	2220
BL_CAR_04	909	1706
BL_CAR_05	222	1082
BL_CAR_06	54	953
BL_CAR_07	947	1426
BL_CAR_08	37	811
BL_CAR_09	126	1007
BL_PIP_01	176	916
BL_PIP_02	1334	1552
BL_CTZ_01	230	988
BL_CTZ_02	33	800
BL_CTZ_03	167	898
BL_CTZ_04	1078	1773
BL_AMX_01	178	828
BL_AMX_02	711	1625
BL_AMX_03	83	1057
BL_AMX_04	23	784
BL_AMX_05	508	1200
BL_AMX_06	189	1103
BL_AMX_07	159	1016
BL_AMX_08	1150	1923
BL_AMP_01	25	1044
AG_SPC_01	28	819
AG_SPC_02	332	1336
AG_SPC_03	831	1202
AG_SPC_04	637	1650
AG_SPC_05	225	1316
AG_GEN_01	792	1430
AG_AMK_01	1313	1651
AG_AMK_02	351	917
AG_AMK_03	49	549
CT_CAM_01	391	1815
CT_TET_01	177	1367
MA_AZT_01	386	1144
MA_AZT_02	1084	1860
MA_AZT_03	995	1612
MA_ERM_01	1604	2002
MA_ERM_02	96	731
MA_ERM_03	539	1366
MA_ERM_04	906	1310
MA_ERM_05	528	1040
TM_TMP_01	1125	1430
TM_TMP_02	1135	1830
TM_TMP_03	851	1327
TM_TMP_04	425	913
TM_TMP_05	717	1211
TM_TMP_06	460	960
TM_TMP_07	937	1425
TM_TMP_08	1459	1953
TM_TMP_09	1188	1658
TM_TMP_10	536	1072
TM_TMP_11	90	977
TM_TMP_12	326	835
TM_TMP_13	234	995
TM_TMP_14	13	492
TM_TMP_15	35	850
TM_TMP_16	106	630
TM_TMP_17	269	761
TM_TMP_18	89	580
TM_TMP_19	200	682
TM_TMP_20	1566	1841
TM_TMP_21	1135	1797
TM_TMP_22	466	981
TM_TMP_23	1446	1970
TM_TMP_24	792	1322
TM_TMP_25	1152	1646
SA_STM_01	144	938
SA_STM_02	133	819
SA_STM_03	539	982
SA_STM_05	725	1138
SA_STM_06	871	1701
SA_STM_07	108	590
RA_RMP_01	762	1190
RA_RMP_02	1460	2041
RA_RMP_03	1017	1442
RA_RMP_04_	1372	2115
RA_RMP_05	147	896
RA_RMP_06	500	946
