Scaffold	Length	Coverage
1	28183	299
10	2163	1376
100	9051	263
101	3004	263
102	10688	251
103	1255	724
104	1061	1881
105	14959	257
106	1961	258
107	809	430
108	699	1024
109	548	217
11	527	1641
110	1362	888
111	502	412
112	3944	244
113	1133	473
114	4027	278
115	1744	206
116	912	206
117	2654	248
12	117713	252
13	44032	251
14	49245	253
15	15590	283
16	327488	254
17	94884	255
18	109588	247
19	180299	255
2	227040	247
20	99386	259
21	111240	254
22	36442	249
23	11690	257
24	63857	248
25	2383	667
26	33986	275
27	2656	2007
28	72781	254
29	73059	265
3	153863	255
30	71146	255
31	171930	252
32	82706	259
33	43660	250
34	109493	257
35	39053	286
36	22717	250
37	20607	254
38	142761	256
39	18127	261
4	103630	251
40	75265	269
41	697	656
42	30377	251
43	108804	260
44	50468	255
45	23505	248
46	56448	253
47	137679	255
48	252020	253
49	66140	242
5	29501	263
50	33164	247
51	65475	262
52	1950	273
53	24563	240
54	19519	233
55	1193	2151
56	3566	255
57	74541	254
58	13602	268
59	84986	254
6	208505	261
60	175027	255
61	75181	255
62	2577	246
63	159377	253
64	13177	248
65	90822	251
66	208548	266
67	1232	459
68	48825	258
69	73593	254
7	131034	260
70	15316	277
71	4889	269
72	47467	264
73	1297	2843
74	60431	254
75	2562	2003
76	28586	266
77	25521	269
78	1641	2105
79	1428	1589
8	51352	260
80	85183	251
81	24203	288
82	59207	261
83	56810	244
84	62404	258
85	14712	262
86	35706	261
87	2428	235
88	53868	259
89	13424	258
9	568	967
90	1431	509
91	13163	239
92	16219	266
93	7212	245
94	20577	267
95	8856	262
96	1951	669
97	12602	296
98	10229	249
99	1450	890
